Number,Reference,Type ,Area,Efficiency,Origin,Power,Material
1,https://allo.solar/panneau-solaire-405w-noir-mono-perc-demi-cellules-9bb-longi-solar.html?utm_source=google+shopping&utm_medium=shopping&utm_campaign=Panneaux+solaires&utm_term=Panneaux+solaires&utm_content=Panneaux+solaires&gclid=Cj0KCQiAn4SeBhCwARIsANeF9DKbQJ9PrtHVF_gotF3e09PnDTgmCSn9V6ZCtlcJWwh2-4LdLw5XCosaAhieEALw_wcB,fixed,1.95,0.207,Asia,405,Monosillicium
2,https://allo.solar/panneau-solaire-335w-mono-cadre-silver-demi-cellules-biverre-trinasolar.html?utm_source=google+shopping&utm_medium=shopping&utm_campaign=Panneaux+solaires&utm_term=Panneaux+solaires&utm_content=Panneaux+solaires&gclid=Cj0KCQiAn4SeBhCwARIsANeF9DKud-fHf5WsKRdrOZ9Qirr01bHfM9OaYObkBV9Y8hKUjLR4_X8kYZQaAtj9EALw_wcB,fixed,1.68,0.199,Asia,335,Monosillicium
3,https://www.chocdiscount.com/panneaux-solaires/1257-panneau-solaire-photovoltaique-longi-solar-405-watts-12-cellules-lr5-54hih-405m.html?gclid=Cj0KCQiAn4SeBhCwARIsANeF9DKc__EfqWgVjHBBfBJ4ehBTuOeLhgbwGnKP7bZPYeHG1On3EYr8Y3waAke2EALw_wcB,fixed,2.16,0.213,Asia,460,Monosillicium
4,https://www.acontre-courant.fr/PBSCProduct.asp?ItmID=37513223&AccID=133444&PGFLngID=0&gclid=Cj0KCQiAn4SeBhCwARIsANeF9DJNoEe0Vp1HQk2lqW5xghHobeCFQLGLdtUk250BmqVVHQYxwYQ8c2UaAvxpEALw%5FwcB,fixed,2.37,0.21,France,500,Monosillicium
5,https://www.manomano.fr/p/panel-solar-solarzity-400w-policristalino-144-celulas-ssf-sz-400-144-17896873,fixed,2.24,0.22,France,500,Monosillicium
6,-,-,5,0.2,France,1000,Monosillicium
7,-,-,5,0.2,Mexico,1000,Monosillicium
8,-,-,6,0.16,France,960,Polysillicium
9,-,-,6,0.2,France,1200,Monosillicium
10,-,-,6,0.2,Asia,1200,Monosillicium
